,a,c,h,k,n,s,t,z
0,222120.0,3018349.0,3040.0,48655.0,28945.0,25926.0,63418.0,6075083.0
1,188135.0,8591659.0,1894.0,49243.0,11893.0,20413.0,44715.0,11462844.0
2,170438.0,5065626.0,1855.0,61790.0,9133.0,12609.0,59697.0,17192286.0
3,160891.0,2992372.0,3624.0,78430.0,8171.0,10761.0,70207.0,20075407.0
4,162120.0,8676756.0,11108.0,81132.0,14902.0,26346.0,90355.0,18571627.0
5,174781.0,4722818.0,30999.0,90475.0,48519.0,45235.0,163126.0,21696575.0
6,200232.0,5730664.0,75297.0,126713.0,178686.0,124734.0,343918.0,21203649.0
7,233333.0,17040575.0,131281.0,107382.0,595078.0,299580.0,661676.0,21978383.0
8,260161.0,12969608.0,174317.0,107523.0,1110062.0,442194.0,1123451.0,22166958.0
9,288029.0,13816147.0,209463.0,118143.0,1180806.0,473409.0,1182865.0,21014640.0
10,309598.0,21182891.0,229175.0,93742.0,961947.0,449315.0,1020488.0,19044036.0
11,305548.0,14273192.0,246399.0,113790.0,1089714.0,524301.0,1221653.0,23560354.0
12,306784.0,16518725.0,283802.0,265294.0,1150811.0,587465.0,1366306.0,30754712.0
13,301077.0,16693555.0,286390.0,298176.0,1092727.0,580515.0,1549528.0,43179483.0
14,293925.0,18089440.0,372946.0,180765.0,1110918.0,619720.0,1568659.0,45157619.0
15,324773.0,19445181.0,362656.0,128317.0,997851.0,699655.0,1535032.0,42352405.0
16,347060.0,17989823.0,282320.0,53463.0,930514.0,769845.0,1435198.0,21168254.0
17,314448.0,18859964.0,264787.0,24087.0,1147472.0,1033507.0,1381733.0,9781407.0
18,283831.0,17276567.0,308048.0,15051.0,1434964.0,1426321.0,1316335.0,4779964.0
19,321630.0,16262941.0,323574.0,6700.0,1549657.0,1426977.0,1383323.0,2718714.0
20,310318.0,14730717.0,201145.0,4586.0,1637757.0,1002457.0,2129832.0,1615301.0
21,306214.0,9935064.0,85611.0,8421.0,965250.0,585971.0,1398483.0,1254911.0
22,256393.0,6247157.0,28655.0,8671.0,366502.0,210909.0,440212.0,1656083.0
23,200195.0,4317891.0,9818.0,18652.0,83300.0,84615.0,169130.0,2491738.0
24,166506.0,3619749.0,4400.0,51268.0,28114.0,33280.0,102856.0,5059704.0
25,127601.0,2895651.0,2249.0,51819.0,12942.0,17585.0,47914.0,10141159.0
26,109409.0,3008229.0,2043.0,76351.0,9998.0,13814.0,46382.0,16772003.0
27,96572.0,2768621.0,2202.0,92559.0,25707.0,12763.0,53967.0,19092370.0
28,94729.0,3492212.0,6651.0,87340.0,65931.0,25488.0,75824.0,20013850.0
29,108522.0,4445003.0,24016.0,99276.0,132062.0,52067.0,138150.0,22482220.0
30,139541.0,4509843.0,65348.0,121686.0,303252.0,121305.0,334515.0,23465320.0
31,181681.0,7520119.0,142760.0,116705.0,531412.0,310193.0,614328.0,23484234.0
32,209879.0,11914155.0,304215.0,113292.0,790136.0,1315208.0,992630.0,25520775.0
33,235039.0,11265094.0,320080.0,113054.0,983892.0,519723.0,1220571.0,22153047.0
34,272867.0,9239048.0,437542.0,93523.0,1064578.0,520546.0,1192822.0,18553485.0
