,hst,chnst,z
0,92384.0,3139678.0,6075083.0
1,67022.0,8670574.0,11462844.0
2,74161.0,5148920.0,17192286.0
3,84592.0,3085135.0,20075407.0
4,127809.0,8819467.0,18571627.0
5,239360.0,5010697.0,21696575.0
6,543949.0,6453299.0,21203649.0
7,1092537.0,18728190.0,21978383.0
8,1739962.0,15819632.0,22166958.0
9,1865737.0,16862690.0,21014640.0
10,1698978.0,23843816.0,19044036.0
11,1992353.0,17355259.0,23560354.0
12,2237573.0,19907109.0,30754712.0
13,2416433.0,20202715.0,43179483.0
14,2561325.0,21761683.0,45157619.0
15,2597343.0,23040375.0,42352405.0
16,2487363.0,21407700.0,21168254.0
17,2680027.0,22687463.0,9781407.0
18,3050704.0,21762235.0,4779964.0
19,3133874.0,20946472.0,2718714.0
20,3333434.0,19701908.0,1615301.0
21,2070065.0,12970379.0,1254911.0
22,679776.0,7293435.0,1656083.0
23,263563.0,4664754.0,2491738.0
24,140536.0,3788399.0,5059704.0
25,67748.0,2976341.0,10141159.0
26,62239.0,3080466.0,16772003.0
27,68932.0,2863260.0,19092370.0
28,107963.0,3666106.0,20013850.0
29,214233.0,4791298.0,22482220.0
30,521168.0,5334263.0,23465320.0
31,1067281.0,9118812.0,23484234.0
32,2612053.0,15316344.0,25520775.0
33,2060374.0,14309360.0,22153047.0
34,2150910.0,12454536.0,18553485.0
35,2239163.0,14675225.0,24144669.0
36,2338289.0,14664377.0,32599274.0
37,2398243.0,15448114.0,44873668.0
38,2534010.0,15505165.0,51650673.0
39,2424624.0,16102855.0,43476745.0
40,2297600.0,15411326.0,22827835.0
41,2427316.0,17021389.0,10541645.0
42,4200852.0,22251831.0,4661453.0
43,3175757.0,22821452.0,2356602.0
44,2474082.0,21588857.0,1707865.0
45,1695432.0,12850496.0,1474379.0
46,679756.0,6980362.0,1515933.0
47,262410.0,4770198.0,2263576.0
48,147984.0,4569343.0,4991962.0
49,84078.0,3888141.0,10303161.0
50,74573.0,3909746.0,17931407.0
51,102985.0,3184756.0,23068400.0
52,135932.0,3758149.0,21500506.0
53,244160.0,3768561.0,26989693.0
54,560990.0,6767215.0,29495410.0
55,1180511.0,11205393.0,31474520.0
56,2005957.0,16755910.0,33328662.0
57,2826089.0,17505130.0,30898823.0
58,3098156.0,19063407.0,24752496.0
59,3469857.0,19367899.0,33112189.0
60,3708163.0,19472826.0,47791987.0
61,3938286.0,19979631.0,61285343.0
62,4204522.0,22055749.0,67929524.0
63,4484277.0,24375338.0,47373402.0
64,4376604.0,25809156.0,25606261.0
65,4400107.0,29417609.0,8924732.0
66,4704148.0,29566785.0,3828624.0
67,4405077.0,28711738.0,2256717.0
68,2676301.0,21451592.0,1528690.0
69,1329183.0,10802537.0,1212603.0
70,405377.0,6522117.0,1778400.0
71,131271.0,5474140.0,2396626.0
72,89771.0,5606041.0,6719548.0
73,66215.0,3982026.0,14616940.0
74,78671.0,3937593.0,23933729.0
75,120570.0,3470766.0,27015827.0
76,189690.0,4509916.0,19747658.0
77,365655.0,6080153.0,25997505.0
78,941347.0,9677423.0,28464745.0
79,1640693.0,17563394.0,34974013.0
80,2253406.0,21441229.0,39042184.0
81,2661861.0,20365977.0,29596097.0
82,2377981.0,18687572.0,25553637.0
83,2685405.0,20117220.0,33018477.0
84,3012596.0,22174117.0,46798971.0
85,3403173.0,21706602.0,58912029.0
86,3518085.0,23528682.0,61275254.0
87,3469337.0,23941770.0,42805495.0
88,3829417.0,27695377.0,19164460.0
89,5150577.0,28852075.0,7147844.0
90,4938204.0,28293245.0,3173473.0
91,3694059.0,40726877.0,1803445.0
92,2776349.0,29304431.0,1344240.0
93,1067995.0,12834398.0,1020577.0
94,293185.0,12945286.0,1464696.0
95,100015.0,5037664.0,2425379.0
96,72120.0,3533857.0,6462115.0
97,50888.0,8547384.0,15744495.0
98,60927.0,3296316.0,20788798.0
99,98815.0,2868472.0,22230841.0
100,200533.0,7889166.0,17253772.0
101,443293.0,5146884.0,21850885.0
102,1162018.0,8759583.0,24907938.0
103,1843719.0,22341992.0,28230441.0
104,2349752.0,15687475.0,32040862.0
105,2190123.0,17425750.0,29175927.0
106,2340654.0,29198516.0,21532943.0
107,2823536.0,22107524.0,26768119.0
108,2987305.0,21307919.0,42102004.0
109,3145323.0,35688782.0,50653336.0
110,3001009.0,22089364.0,48755973.0
111,3076505.0,20350002.0,35542573.0
112,3154513.0,31412691.0,19909601.0
113,3585480.0,22492544.0,7625151.0
114,4344937.0,23331500.0,3640739.0
115,3816330.0,34646303.0,1778426.0
116,2497665.0,18705260.0,1263052.0
117,1019826.0,9810340.0,1014905.0
118,297655.0,10998577.0,1205346.0
119,103456.0,3662516.0,2406221.0
120,57202.0,2782065.0,5794498.0
121,48388.0,7048456.0,13496256.0
122,54612.0,2921111.0,19329710.0
123,84710.0,2732693.0,20653729.0
124,172123.0,8138121.0,16448955.0
125,410771.0,5102521.0,19321434.0
126,1184034.0,8624668.0,22587477.0
127,1855278.0,20663242.0,24009940.0
128,2063678.0,13144547.0,21815390.0
129,1734972.0,13481014.0,18305795.0
130,1833362.0,26046899.0,12985303.0
131,2489990.0,18296757.0,19628821.0
132,2809965.0,20074827.0,34698832.0
133,3013129.0,35553957.0,45892631.0
134,2977870.0,23757118.0,47948114.0
135,2795816.0,27296280.0,35483623.0
136,3041404.0,43722227.0,18100383.0
137,3463591.0,25966735.0,6816973.0
138,3838029.0,22237964.0,2892623.0
139,3562440.0,34510230.0,1728844.0
140,2324673.0,21561043.0,1167450.0
141,948888.0,11834539.0,1045406.0
142,292814.0,14981163.0,1423144.0
143,115038.0,5321823.0,2064983.0
144,65248.0,4179593.0,5614929.0
145,152327.0,11021143.0,13487705.0
146,130768.0,4579884.0,20865759.0
147,165516.0,4595903.0,21109037.0
148,284157.0,12652042.0,15791933.0
149,580804.0,7439329.0,19790500.0
150,1462652.0,11687260.0,21796698.0
151,2175457.0,28142609.0,23211862.0
152,2782333.0,20913495.0,25705535.0
153,2444747.0,19228156.0,23197018.0
154,2536796.0,32909600.0,17470571.0
155,3390588.0,24074838.0,25627681.0
156,2743439.0,20853781.0,34891896.0
157,2987850.0,33191197.0,44161990.0
158,2875299.0,20799776.0,48082654.0
159,2548108.0,20221540.0,34251615.0
160,2534273.0,31762829.0,18206356.0
161,2785141.0,20627820.0,6906456.0
162,3288293.0,20948263.0,3309043.0
163,3098539.0,33832015.0,1937174.0
164,2117796.0,17407364.0,1355791.0
165,1026941.0,12394817.0,1168656.0
166,438923.0,14879651.0,1509633.0
167,104008.0,5786024.0,2393877.0
168,55909.0,4524111.0,5685136.0
169,48423.0,10862430.0,12459905.0
170,61594.0,4484022.0,18621501.0
171,93879.0,3975893.0,18240496.0
172,166992.0,9273021.0,12296510.0
173,341728.0,4994398.0,16493533.0
174,972333.0,8538522.0,21348459.0
175,1558242.0,25457371.0,22078887.0
176,2517269.0,15539044.0,24079290.0
177,2009066.0,14351714.0,22104717.0
178,1836362.0,26071647.0,16269756.0
179,2193782.0,17288370.0,18746329.0
180,2107912.0,16888551.0,24521214.0
181,2332692.0,30492900.0,31718774.0
182,2262944.0,18709120.0,39306368.0
183,1983865.0,17031691.0,32730682.0
184,1918888.0,33143146.0,18441514.0
185,1706122.0,18841258.0,7932039.0
186,1809785.0,23177040.0,3540550.0
187,2267695.0,26257351.0,2062850.0
188,2034824.0,14698577.0,1437454.0
189,1062675.0,10600972.0,1062330.0
190,545263.0,18280768.0,1433391.0
191,268012.0,9775435.0,2835868.0
192,164804.0,6689255.0,5318736.0
193,149847.0,12832430.0,10437358.0
194,115867.0,6652276.0,15376871.0
195,135456.0,7016351.0,19322319.0
196,198466.0,18053843.0,19336155.0
197,351271.0,9129793.0,22223976.0
198,783556.0,8582683.0,23179756.0
199,1509857.0,23939406.0,22371300.0
200,1947014.0,14056686.0,23793690.0
201,1631114.0,12648210.0,22594067.0
202,1783534.0,22201752.0,20068151.0
203,1809756.0,12574127.0,23155518.0
204,1899540.0,13010639.0,31990183.0
205,2137780.0,26620922.0,41534693.0
206,2155836.0,17137855.0,48259294.0
207,2079576.0,16825044.0,39568585.0
208,1801779.0,27047362.0,22884566.0
209,1898871.0,17328495.0,10581380.0
210,2271195.0,15362484.0,4457441.0
211,2469702.0,26902751.0,2283855.0
212,2723754.0,16553081.0,1350500.0
213,1862604.0,12214388.0,1361419.0
214,656142.0,14341391.0,1335158.0
215,238637.0,5721105.0,2259737.0
216,91217.0,3741648.0,4146026.0
217,46635.0,8889437.0,9433985.0
218,40850.0,3828393.0,17002498.0
219,50612.0,2819588.0,19436111.0
220,94850.0,8168686.0,18216436.0
221,199444.0,4968111.0,22759431.0
222,491298.0,5353943.0,26476006.0
223,1080919.0,14886940.0,27450231.0
224,1905516.0,11864919.0,28136366.0
225,2509409.0,14307975.0,26488008.0
226,2919926.0,24076086.0,22185653.0
227,3088390.0,16770509.0,25391728.0
228,2948711.0,15633146.0,35627511.0
229,3319548.0,28002464.0,48556988.0
230,3459339.0,20134853.0,56285719.0
231,3608621.0,19883954.0,41445122.0
232,3903778.0,31755198.0,20725260.0
233,3876560.0,23258865.0,7720256.0
234,4042124.0,23802978.0,3500558.0
235,4334048.0,43157677.0,2012923.0
236,2754766.0,24709961.0,1390031.0
237,1329233.0,13359581.0,1210390.0
238,398297.0,15301709.0,1664742.0
239,165583.0,4880722.0,2083845.0
240,60823.0,4379813.0,5238133.0
241,50674.0,10616976.0,11521320.0
242,62110.0,4753436.0,18153409.0
243,92248.0,4554983.0,21482808.0
244,169638.0,11062061.0,16520944.0
245,366928.0,7337016.0,20524047.0
246,1036015.0,10739301.0,23470066.0
247,1713198.0,25712998.0,24734173.0
248,2332153.0,18312508.0,27277457.0
249,2060936.0,18709977.0,23371331.0
250,2419656.0,30494397.0,18483673.0
251,2799943.0,21252470.0,24806999.0
252,3057449.0,22736672.0,34564531.0
253,3344798.0,39580617.0,46850367.0
254,3574006.0,28834343.0,48191304.0
255,3304327.0,24067351.0,33813485.0
256,3530268.0,43655294.0,14906684.0
257,3807063.0,30213220.0,5934303.0
258,4035124.0,26709901.0,3131849.0
259,3561725.0,43931011.0,1759424.0
260,2236209.0,21553283.0,1465805.0
261,1014705.0,12363836.0,1330833.0
262,265494.0,15036186.0,1509956.0
