,BMS,Flatirons_M2,NELHA,UA_OASIS,UNLV
0,325324.3969,2701034.817,2125542.9790000003,186727.3585,772404.2636
1,766857.8009,2505982.412,2223130.922,130678.5316,1050580.32
2,1281998.17,609536.6965,1716664.9719999996,258502.2755,688199.1418
3,2336400.895,622481.1487,2851518.28,3482.599961,68141.424
4,1072707.668,323726.9378,1402092.4630000002,15097.11214,193113.6884
5,771590.9212,484833.9098,772404.2636,1562.195049,143345.4309
6,310617.6599,889617.2554,2287396.953,18312.60183,234633.9325
7,261059.954,842066.2227,3226737.1360000004,105419.9557,1029251.915
8,567244.8656,192361.2285,7369590.789,16485.64644,451623.4302
9,414568.4644,189902.6264,8882877.075,54265.41147000001,246470.4154
10,20716.09388,675843.3069,5356290.411,99357.19398,613249.8358
11,76583.58332,692855.3558,7621289.205,10027311.59,226877.4096
12,295073.9948,1351854.076,11310630.24,18742305.99,167631.4177
13,983636.4097,384431.8705,14916787.62,32818723.48,85258.1219
14,25586.64034,20474.03877,19585470.74,26400769.14,534877.0689
15,32247.46212,132219.3398,29511921.96,19092249.99,795963.8252
16,147173.3155,67285.09468,13033337.52,14285583.38,462326.6279
17,457527.7601,208691.1433,3118577.791,12926577.91,265027.6981
18,116345.4055,195437.0796,2518485.014,12050180.58,78428.30452
19,1506.484246,341352.8838,633585.3733,24675929.76,15969.43255
20,0.0,906258.7327,1709746.044,33481960.0,1973.283442
21,635.2504072,1049914.588,4277742.992,24782576.23,4898.56113
22,4843.018922,67311.74576,9322436.699,27309335.26,1285.422919
23,402770.8359,1400277.1519999998,16988371.31,15960240.83,50500.25154
24,484734.5043,841348.2263,19502489.83,3271614.458,4567.1617689999985
25,479189.4544,785907.0547,20576680.47,226398.3865,49930.21069
26,912912.3662,358143.0365,2049249.751,37359.26345,28773.62465
27,1314973.198,445018.5548,117307.7813,51519.38382,18537.3398
28,2234399.552,798733.9985,338919.7038,268767.0112,239819.0273
29,894094.6853,929995.6674,1655513.494,5153.75939,81750.17533
30,641340.5541,2497966.916,3729905.743,191503.6706,25058.81115
31,788378.8906,1214224.483,2223130.922,594264.5482,7192.297457
32,857820.2324,908221.2023,5249020.873,53598.59824,124073.1605
33,51989.16256,966057.7533,11909341.22,115159.3878,6127.308045000002
34,21095.03751,3129248.8039999995,26811344.76,46370.74207,71667.1839
35,61165.15472000001,3499280.826000001,49492477.24,46287.62799,121407.7219
36,17108.94405,1943530.887,62057176.23,155544.2295,532757.0672
37,966372.6181,863942.6377,90439597.08,1159339.18,124635.0003
38,165291.7285,837621.2235,91207703.58,2929966.106,182186.3895
39,13458.04992,1405121.466,113875461.4,1020410.156,105743.8079
40,1527.751947,1134804.657,89524221.34,2293834.801,17248.36017
41,114398.509,1800437.999,123481054.1,1601557.9109999996,4289.214124
42,59726.22889,2508658.049,123349287.8,1734043.9009999996,8374.049618000001
43,213315.4479,2774801.424,123233570.5,1379613.386,91096.77707
44,187517.8308,4497460.016,245363939.9,496053.5397,57083.43828
45,931838.5602,5705857.342,162177404.9,12636.87237,2060.705804
46,1097198.552,600090.2567,176464942.1,0.184369277,988.1040929
47,734660.1899,192361.2285,249273476.1,21854.13841,1118.063625
48,267026.5578,598830.5257,240996104.6,6089.629243,4204.727789000001
49,250097.4179,30737.61954,140448840.6,94932.40155,4820.000810000001
50,295931.5598,241626.7008,171729041.7,608.263775,886.3433242999997
51,627780.6697,444267.8383,140963044.0,888128.1073,8765.256499
52,2912519.999,383580.8557,105884349.5,271121.8491,3961.971653
53,6270261.392999998,4462440.046,36293075.91,85289.32912000001,19700.39398
54,10959633.35,9426278.318,9272580.394,16621.660180000006,7453.479143
55,4348164.7239999985,2433582.9680000003,1119278.723,7639.394494,11444.2639
56,86260.53418999999,1907381.998,7776415.118,107992.8297,109534.3379
57,144939.6195,616627.8665,567244.8656,44605.60377,213142.9711
58,157838.2634,677830.1062,214929.7201,73800.22063,164903.9096
59,5380489.738,1830884.18,382816.0171,83000.49846,339938.6569
60,2667434.311,463097.5468,1345365.502,594378.4138,723179.2953
61,419694.3074,394222.5662,2737752.4910000004,5206323.764,234817.8149
62,4808519.155,9765220.01,2248746.163,15271942.3,661432.7046
63,7406252.312999999,3775807.774,1306484.547,10564704.36,699307.7383
64,2893180.475,2156582.733,1263458.988,9444259.616,320246.0329
65,317539.3192,1119626.055,1031552.531,5910919.966,2727.048319
66,1409369.395,1118410.706,514031.9317,3058792.933,821.1271237999998
67,995473.1917,1393232.505,418251.2337,1801391.747,6960.752840000001
68,315668.658,1173081.205,1737999.362,147667.7887,1588.364366
69,1168607.67,755443.7508,5052065.405,66198.44743,6688.38187
70,1210927.451,860877.8066,3438743.97,171331.2139,2465.48785
71,525171.4517,383921.1108,5314484.288,489621.3734,13061.0123
72,36697.15569,12393.75101,6660401.824,3097.9931850000007,694.1173871
73,15816.69726,53461.32244,1715972.24,4629.52138,4457.202782
74,139194.7631,150657.9036,2793610.331,16143.71758,2001.290921
75,278268.8106,265360.1463,3019924.7610000004,97468.76015,1345.365502
76,277857.0689,96720.13802,2549622.659,10598.86584,4907.859251
77,246153.9408,75398.72641,3738823.394,110644.3498,69140.57572000001
78,1639335.9530000002,155497.6454,2863519.876,287079.7037,352.0044995
79,1127460.044,469684.988,5834369.092,203241.9316,9796.161438
80,896788.3408,1706523.583,7892055.537,24159.39809,79644.60901
81,648917.2586,1810229.889,6044084.471,3640.364204,92638.16377
82,223657.083,34475556.47,4155405.157,321453.9375,52191.36737
83,380950.6932,15553264.92,4110188.509,561524.4228,254729.5292
84,416092.8314,1378216.477,1601337.4219999998,316939.9058,155357.949
85,420145.9477,1505637.669,3562026.616000001,392493.0166,319643.217
86,228800.2591,6031799.75,4269682.987,8198597.432,233410.5027
87,2164389.6040000003,3818542.008,4027669.733,21812613.76,101620.2376
88,2266765.618,3612608.179,3513036.04,40285766.41,14447.4132
89,3327306.404,2520871.166,2520274.487,26239711.07,399.7912553000001
90,809739.0164,5600555.722,2018993.79,5292439.967,8629.011445999999
91,114322.606,21795013.14,1563713.638,151846.8212,3553.392465
92,268767.0112,7744844.781,883818.9772,824521.7654,3460.441385
93,284772.637,9037839.836,548146.7307,1455835.19,1447.986668
94,4114323.091,5740904.664,1109409.92,188787.2214,3834.304803
95,1315166.548,3837462.559,1793771.187,35884.962960000004,701.7217709
96,187570.6081,2174647.784,1830884.18,1675884.639,26065.14608
97,645061.3602,1058758.387,1941524.662,257197.1504,60517.29456
98,167533.4926,2505388.0840000003,1428897.5480000004,571560.6001,10444.17797
99,1289616.999,91259935.43,1149589.437,1173081.205,112999.7325
100,486725.198,6932017.706,1311496.138,1436266.854,1500.142646
101,645422.2001,9308173.852,957112.8311,639425.7487,8400.647956
102,1285042.09,45931369.07,1401487.185,2584351.331,37269.32785
103,412512.0178,37776644.54,1286375.319,1864842.489,1216.2422800000004
104,1189280.442,83313522.27,205757.9657,2105368.949,38266.58981000001
105,2021310.527,19154453.44,98702.09372,6597.307292,68222.07534
106,1670889.6830000004,46287627.99,694622.6284,115617.5305,53278.65293
107,4149995.016,44328618.09,916859.324,699434.6544,54566.11426
108,3703237.895,28551852.93,957112.8311,525171.4517,185939.1109
109,960088.3093,93160210.41,953051.0955,304380.0545,209712.9315
