,BMS,Flatirons_M2,NELHA,UA_OASIS,UNLV
0,1301297.5876,10804139.268,8502171.916000001,746909.434,3089617.0544
1,3067431.2036,10023929.648,8892523.688,522714.1264,4202321.28
2,5127992.68,2438146.786,6866659.887999998,1034009.102,2752796.5672
3,9345603.58,2489924.5948,11406073.12,13930.399844,272565.696
4,4290830.672,1294907.7512,5608369.852000001,60388.448560000004,772454.7536
5,3086363.6848,1939335.6392,3089617.0544,6248.780196,573381.7236
6,1242470.6396,3558469.0216,9149587.812,73250.40732,938535.73
7,1044239.816,3368264.8908,12906948.544000002,421679.8228,4117007.66
8,2268979.4624,769444.914,29478363.156,65942.58576,1806493.7208
9,1658273.8576,759610.5056,35531508.3,217061.64588000003,985881.6616
10,82864.37552,2703373.2276,21425161.644,397428.77592,2452999.3432
11,306334.33328,2771421.4232,30485156.82,40109246.36,907509.6384
12,1180295.9792,5407416.304,45242520.96,74969223.96,670525.6708
13,3934545.6388,1537727.482,59667150.48,131274893.92,341032.4876
14,102346.56136,81896.15508,78341882.96,105603076.56,2139508.2756
15,128989.84848,528877.3592,118047687.84,76368999.96,3183855.3008
16,588693.262,269140.37872,52133350.08,57142333.52,1849306.5116
17,1830111.0404,834764.5732,12474311.164,51706311.64,1060110.7924
18,465381.622,781748.3184,10073940.056,48200722.32,313713.21808
19,6025.936984,1365411.5352,2534341.4932,98703719.04,63877.7302
20,0.0,3625034.9308,6838984.176,133927840.0,7893.133768000001
21,2541.0016288,4199658.352,17110971.968,99130304.92,19594.24452
22,19372.075688,269246.98304,37289746.796,109237341.04,5141.6916759999995
23,1611083.3436,5601108.607999999,67953485.24,63840963.32,202001.00616
24,1938938.0172,3365392.9052,78009959.32,13086457.832,18268.647075999994
25,1916757.8176,3143628.2188,82306721.88,905593.546,199720.84276
26,3651649.4648,1432572.146,8196999.004,149437.0538,115094.4986
27,5259892.791999999,1780074.2192,469231.1252,206077.53527999998,74149.3592
28,8937598.207999999,3194935.994,1355678.8152,1075068.0448,959276.1092
29,3576378.7412,3719982.6696,6622053.976,20615.03756,327000.70132
30,2565362.2164,9991867.663999999,14919622.972000001,766014.6824,100235.2446
31,3153515.5624,4856897.932,8892523.688,2377058.1928,28769.189828
32,3431280.9296,3632884.8092,20996083.492,214394.39296,496292.642
33,207956.65024000002,3864231.0132,47637364.88,460637.5512,24509.23218000001
34,84380.15004,12516995.215999998,107245379.04,185482.96828,286668.7356
35,244660.61888000005,13997123.304000005,197969908.96,185150.51196,485630.8876
36,68435.7762,7774123.5479999995,248228704.92,622176.918,2131028.2688
37,3865490.4724,3455770.5508,361758388.32,4637356.72,498540.0012
38,661166.914,3350484.894,364830814.32,11719864.424,728745.558
39,53832.19968,5620485.864,455501845.6,4081640.624,422975.2316
40,6111.007788,4539218.6280000005,358096885.36,9175339.204,68993.44068
41,457594.036,7201751.996,493924216.4,6406231.643999998,17156.856496
42,238904.91556,10034632.196,493397151.2,6936175.603999998,33496.198472000004
43,853261.7916,11099205.695999999,492934282.0,5518453.544,364387.10828000004
44,750071.3232,17989840.064,981455759.6,1984214.1588,228333.75311999998
45,3727354.2408,22823429.368,648709619.6,50547.489480000004,8242.823215999999
46,4388794.208000001,2400361.0268,705859768.4,0.737477108,3952.4163716
47,2938640.7596,769444.914,997093904.4,87416.55364,4472.2545
48,1068106.2312,2395322.1028,963984418.4,24358.516972,16818.911156000006
49,1000389.6716,122950.47815999998,561795362.4,379729.6062,19280.003240000005
50,1183726.2392,966506.8032,686916166.8,2433.0551,3545.373297199999
51,2511122.6788,1777071.3532,563852176.0,3552512.4292,35061.025996
52,11650079.996,1534323.4228,423537398.0,1084487.3964,15847.886612
53,25081045.57199999,17849760.184,145172303.64,341157.31648000004,78801.57592
54,43838533.4,37705113.272,37090321.576,66486.64072000002,29813.916572000002
55,17392658.895999998,9734331.872000001,4477114.892,30557.577976,45777.0556
56,345042.13675999996,7629527.992000001,31105660.472,431971.3188,438137.3516
57,579758.478,2466511.466,2268979.4624,178422.41508,852571.8844
58,631353.0536,2711320.4248,859718.8804,295200.88252,659615.6384
59,21521958.952,7323536.72,1531264.0684,332001.99384,1359754.6276
60,10669737.243999999,1852390.1872,5381462.007999999,2377513.6552,2892717.1812
61,1678777.2296,1576890.2648,10951009.964000002,20825295.055999998,939271.2596
62,19234076.62,39060880.04,8994984.652,61087769.2,2645730.8184
63,29625009.251999997,15103231.095999999,5225938.188,42258817.44,2797230.9532
64,11572721.9,8626330.932,5053835.952,37777038.464,1280984.1316
65,1270157.2768,4478504.22,4126210.124,23643679.864,10908.193276
66,5637477.58,4473642.824,2056127.7268,12235171.732,3284.508495199999
67,3981892.7668,5572930.02,1673004.9348,7205566.988,27843.011360000004
68,1262674.632,4692324.82,6951997.448,590671.1548,6353.457464
69,4674430.68,3021775.0032,20208261.62,264793.78972,26753.52748
70,4843709.804,3443511.2264,13754975.88,685324.8556,9861.9514
71,2100685.8068,1535684.4432,21257937.152,1958485.4936,52244.0492
72,146788.62276,49575.00404,26641607.296,12391.972740000005,2776.4695484
73,63266.789039999996,213845.28975999999,6863888.96,18518.08552,17828.811128
74,556779.0524,602631.6144,11174441.324000001,64574.87032,8005.163684
75,1113075.2424,1061440.5852,12079699.044000002,389875.0406,5381.4620079999995
76,1111428.2756,386880.55208,10198490.636,42395.46336,19631.437004
77,984615.7632,301594.90564,14955293.576,442577.3992,276562.30288000003
78,6557343.812000001,621990.5816,11454079.504,1148318.8148,1408.017998
79,4509840.176,1878739.9519999998,23337476.368,812967.7264,39184.645752
80,3587153.3632,6826094.332,31568222.148000002,96637.59236000001,318578.43604
81,2595669.0344,7240919.556,24176337.884,14561.456816,370552.65508
82,894628.332,137902225.88,16621620.627999999,1285815.75,208765.46948
83,1523802.7728,62213059.68,16440754.035999998,2246097.6912,1018918.1168
84,1664371.3256,5512865.908,6405349.687999999,1267759.6232,621431.796
85,1680583.7908,6022550.676,14248106.464000005,1569972.0664,1278572.868
86,915201.0364,24127199.0,17078731.948,32794389.728,933642.0108
87,8657558.416000001,15274168.032,16110678.932,87250455.04,406480.9504
88,9067062.472000001,14450432.715999998,14052144.16,161143065.64,57789.6528
89,13309225.615999999,10083484.663999999,10081097.947999999,104958844.28,1599.1650212000006
90,3238956.0656,22402222.888,8075975.16,21169759.868,34516.045783999994
91,457290.424,87180052.56,6254854.552,607387.2848,14213.56986
92,1075068.0448,30979379.124,3535275.9088,3298087.0616,13841.76554
93,1139090.548,36151359.344000004,2192586.9228,5823340.76,5791.946672
94,16457292.364,22963618.656,4437639.68,755148.8856,15337.219212
95,5260666.192,15349850.236,7175084.748,143539.85184000002,2806.8870836
96,750282.4324,8698591.136,7323536.72,6703538.556,104260.58432000001
97,2580245.4408,4235033.548,7766098.647999999,1028788.6016,242069.17824
98,670133.9704,10021552.336000001,5715590.192000002,2286242.4004,41776.71188
99,5158467.996,365039741.72,4598357.748,4692324.82,451998.93
100,1946900.792,27728070.824,5245984.552,5745067.416,6000.570584
101,2581688.8004,37232695.408,3828451.3244,2557702.9948,33602.591824
102,5140168.36,183725476.28,5605948.74,10337405.324,149077.3114
103,1650048.0712,151106578.16,5145501.276000001,7459369.956,4864.969120000002
104,4757121.768,333254089.08,823031.8628,8421475.796,153066.35924000005
105,8085242.107999999,76617813.76,394808.37488,26389.229168,272888.30136
106,6683558.732000002,185150511.96,2778490.5136,462470.122,213114.61172000002
107,16599980.064000001,177314472.36,3667437.296,2797738.6176,218264.45704
108,14812951.58,114207411.72,3828451.3244,2100685.8068,743756.4436
109,3840353.2372,372640841.64,3812204.382,1217520.218,838851.726
110,4537115.948,412445039.6,2713309.6548,394946.00272,592833.9032
111,4839319.072,88793645.56,4237041.836,6165011.332,634180.0036
112,547828.5312,151229932.44,8939800.852,32629620.39199999,84577.0698
113,7519075.956,72879485.96,7615662.727999999,52756722.48,47869.59408
114,4493805.82,20576612.52,15964327.52,65613422.04,28961.678892
115,10154062.424,223543692.32,11668486.62,3847882.9292,58518.8916
116,23172898.704,606910596.0,6006483.032000001,184569.66972,250101.80284000005
117,1504584.0692,12750009.848,3315112.83,8278349.576,60349.099
118,14000093.728,5250617.904,1299774.2956,15584776.68,466303.5752
119,51193426.12,5086285.448,2396695.6544,4680867.32,33735.90002
120,10934625.672,27252942.528,1484529.156,15557670.88,541348.7844
121,5067402.616,10830403.372000001,421967.4624,8094516.143999999,152408.79584
122,2890641.1924,13050990.632000003,7953091.656,5221319.368,8517.092988
123,897956.1464,9354682.488,24932357.07199999,4578587.988,54087.789639999995
124,571971.0464,1875627.094,18712053.296,9691263.104,48139.78872
125,1280682.558,2781018.0992,132009380.52,4760015.392,359323.24348
126,11012913.24,14860813.284000002,24234107.74,2187412.3396,42957.53688
127,3196045.4752,5507282.0479999995,11684279.148,10736798.056,41164.0102
128,95885.69152000001,4994579.688,133613497.36,9352412.212000001,70248.36096
129,919546.484,2591807.39,186616296.28,4388108.816000001,421104.9356
130,88936.22047999999,2034292.196,118664080.68,1786843.0316,1228926.1708
131,296563.346,77404644.08,51242797.52,1587305.6228,265426.93084
132,2228601.3908,59409830.4,37641894.672,3206042.3664,184901.4306
133,13385480.947999999,50624433.4,27522441.992,7274467.424,596450.204
134,110928819.04,79537035.8,7838521.864,6817816.563999998,394670.77904
135,98272913.36,221113210.96,3384378.21,5367340.188,51958.69316
136,89630898.56,351369932.68,9582416.9,20419569.064,49471.55516
137,18632866.716,220795465.92,7999025.8,44109311.28,38219.214364
138,3123915.5756,255643666.92,5204406.98,23525917.312,110793.09864000004
139,611983.5772,196073857.44,11869579.4,26650731.911999997,98316.48212
140,8269981.267999999,58665471.64,6219332.1,5758200.868,25008.814304
141,10865488.34,205756542.32,3274912.9272,213479.74232,580114.1216
142,36532900.904,119828700.92,2056541.2124,763448.71,56311.826
143,24423033.316,14221073.064000003,18623882.404,1766214.2759999998,465381.622
144,6394772.536,7098311.0479999995,154976605.52,6431843.5879999995,49575.00404
145,4113067.94,7096422.36,166517213.12,3779228.0956,116126.0952
146,5819203.496,7942908.004,82544023.92,4622440.288,139168.73687999998
147,8290912.62,4294883.088,58707948.32,259036.84828,614013.27
148,3035691.9896,3654075.4068,88351617.32,996558.0704,107580.49655999999
149,4297586.112,1815992.2312,82728367.76,1160982.9476,115155.01095999999
150,2844193.6488,2603887.7604,88880190.72,2951249.1768,102738.69336
151,2131028.2688,2820136.71,81741943.24,1145517.1272,47499.73
152,557991.3236,1303737.3292,55455931.92,1897489.454,571090.5496
