,G1,G2,G3,G4,G5,D1,D2,D3,S1,S2,S3,A1,A2,A3
0,128585.52192,1868906.9806,25431376.8,170647331.7,16470.658106,191858.0,792516.0,191443.0,0.0,100.0,100.0,0.0,6781013.542046727,9435349.012979273
1,1733443.6808,561081.3252,9726670.76,30599444.18,4033871.908,2662998.0,5536144.0,7636303.0,100.0,99.22639445774888,100.0,6767526.135649342,5493316.083188998,8572195.27436166
2,53.21392912,2278383.116,13367616.714000005,20414796.14,84780832.84,2563939.0,9172849.0,1006460.0,0.0,0.0,100.0,0.0,0.0,2450802.46392912
3,1108421.4504,8233610.342,1892407.1918,16139201.81,182063.13642,124309.0,1360088.0,2080069.0,100.0,100.0,97.76628682934249,849815.6599206416,4318411.331411122,2033606.224788236
4,572758.5636,103969350.12,21235060.74,143084382.2,7069341.462,1810544.0,4240069.0,4098846.0,100.0,100.0,100.0,4266066.125,6302535.15625,4994064.25
5,751452.9848,17460757.586,3021019.644,0.0,1958046.7692,1022045.0,4035695.0,91140.0,100.0,100.0,100.0,1895322.953437399,20901313.65769708,394640.3728655206
6,8333313.248,6927518.324,3723830.922,148850.9647,299858.7112,3179626.0,7368333.0,9943539.0,11.137032003228386,45.723486462578315,100.0,354115.96520297055,3369058.7417726903,11986366.540924339
7,293592924.2,494550960.0,4253216.65,31430.83338,2402144.348,291992.0,552847.0,5865221.0,100.0,0.0,29.27753740233215,1082492.1281255605,0.0,1717192.2720044397
8,181997.9509,947177.957,3392386.204,246946.1312,106466.10132,2410322.0,4242342.0,5148141.0,47.58198095971122,37.47713951194315,36.736383642144034,1146878.9551077306,1589908.4299137592,1891240.8281985102
9,1384701.9438,2091852.204,1373888.5932,967482.3924,28506726.24,1203276.0,2636000.0,11658024.0,100.0,100.0,14.88331761224035,2378775.3720151507,14790814.192253642,1735100.7392312072
10,207123.4976,520673.7146,29925422.92,0.006093856,112645.30568,299613.0,408065.0,8988100.0,100.0,100.0,100.0,3681935.170094707,3254632.070830795,23829298.1969545
11,170266.7383,907805.8266,563293.207,6289564.517999998,2487.9623260000008,1473128.0,3231268.0,347322.0,42.307293407728125,26.239186856942936,100.0,623240.5852313972,847858.4483686029,5365548.962326
12,6934158.116,418857.5354,15830128.862,4890518.018,844999.4022,2186743.0,4495193.0,573178.0,100.0,100.0,100.0,3983104.035440163,14411492.753354622,2621322.8453052146
13,217964.2536,130299.2807,1374641.1796,2273467.006,403816.9466,158189.0,391095.0,3864027.0,68.10120457506062,100.0,60.023304066656905,107728.61450524266,1973143.3765670364,2319316.675427721
14,6076269.272000001,101998518.76,762409.3958,1141347.086,1201097.5568,1864968.0,5115306.0,1567877.0,100.0,100.0,56.49081710138443,4480951.786975959,44455421.99517936,885706.5284446732
15,31938.8651,381190.6242,88952131.68,98339.28942,649.2782592,1480935.0,3856773.0,3833908.0,100.0,100.0,0.016935154917645388,5539955.28942,16826860.0,649.2782592
16,17533252.284,101313334.32,2919954.7180000013,502115.541,53530.39246,1467556.0,9742700.0,7669176.0,100.0,100.0,26.43702367764151,1482927.5741493148,16552440.250850687,2027501.875
17,160125.58925999998,2533701.308,2020642.244,2262256.752,32717359.12,176088.0,295384.0,3879730.0,100.0,100.0,100.0,2547517.4132591453,2341293.0144085395,13829357.465592314
