,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,D1,D2,D3,D4,D5,D6,D7,D8,D9,S1,S2,S3,S4,S5,S6,S7,S8,S9,A1,A2,A3,A4,A5,A6,A7,A8,A9
0,535122.5584,10446555.452,21283342.28,1167251.9776,2414.176926,535122.5584,10446555.452,21283342.28,1167251.9776,2414.176926,535122.5584,10446555.452,21283342.28,1167251.9776,2414.176926,63350.0,145692.0,1538653.0,63350.0,145692.0,1538653.0,63350.0,145692.0,1538653.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.39623461858193,3820887.2971805255,7191447.303524608,3287566.5230761077,3827992.559842282,982222.2889707502,3540944.9378718473,5726677.087762663,2511012.5377096185,806196.2358458494
1,1155591.504,2754438.526,671905.8092,53279995.3,30292726.46,1155591.504,2754438.526,671905.8092,53279995.3,30292726.46,1155591.504,2754438.526,671905.8092,53279995.3,30292726.46,3390996.0,6881514.0,14309716.0,3390996.0,6881514.0,14309716.0,3390996.0,6881514.0,14309716.0,100.0,100.0,100.0,68.80702260186156,100.0,100.0,100.0,100.0,100.0,5438078.804392919,28770989.28067165,22993346.547815774,2333243.3841482215,10819889.510682408,20505215.158915468,5323964.262378191,21243474.55269607,57430766.1733993
2,1428265.3182,478892.31,3703875.786,5668125.384,1817348.9638,1428265.3182,478892.31,3703875.786,5668125.384,1817348.9638,1428265.3182,478892.31,3703875.786,5668125.384,1817348.9638,132026.0,4967164.0,288878.0,132026.0,4967164.0,288878.0,132026.0,4967164.0,288878.0,100.0,100.0,100.0,100.0,79.1788794932967,100.0,100.0,100.0,100.0,293686.6872224735,18125518.55222948,563133.661171918,256563.1961454503,3932944.7977944165,313833.2945683687,1129375.9398255409,10493393.685046144,388064.7203087058
3,362306.00700000004,1109508.6354,84647734.84,6451364.068,30450.77516,362306.00700000004,1109508.6354,84647734.84,6451364.068,30450.77516,362306.00700000004,1109508.6354,84647734.84,6451364.068,30450.77516,1938516.0,3225266.0,11863344.0,1938516.0,3225266.0,11863344.0,1938516.0,3225266.0,11863344.0,100.0,30.756798587809513,100.0,100.0,57.70501509466976,46.59100854924646,100.0,70.1166806992794,96.8154171254246,4016183.3613939057,991988.5675411004,15706890.703705456,4592304.380457714,1861140.2321432515,5527251.617266516,7034050.712297481,2261449.4629224204,11485545.978624031
4,180243.8181,905524.4308,6668983.548,132112412.16,6536131.626,180243.8181,905524.4308,6668983.548,132112412.16,6536131.626,180243.8181,905524.4308,6668983.548,132112412.16,6536131.626,32907.0,123537.0,580942.0,32907.0,123537.0,580942.0,32907.0,123537.0,580942.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6413847.858081948,2239032.1427151533,4536655.814453125,4577596.382200127,4907389.034361711,4240545.827282695,605849.0426356266,4632572.830772469,3621304.197714331
5,447432.88,2489453.166,2622992.276,6417.6633299999985,345752.4516,447432.88,2489453.166,2622992.276,6417.6633299999985,345752.4516,447432.88,2489453.166,2622992.276,6417.6633299999985,345752.4516,1814918.0,5534972.0,2157044.0,1814918.0,5534972.0,2157044.0,1814918.0,5534972.0,2157044.0,58.109126513531876,67.19932043007148,100.0,30.7759833117542,49.75870589819823,54.77312440199331,52.80251256797115,58.73286910640942,92.65025364424991,1054632.9967368625,3719463.569994736,2260202.14860017,558558.8608020231,2754130.4390276205,1181480.3935257324,958322.3050483707,3250847.8598364117,1998506.7372180743
6,4036958.4,5251654.074,624788.3292,21392634.22,79940929.9,4036958.4,5251654.074,624788.3292,21392634.22,79940929.9,4036958.4,5251654.074,624788.3292,21392634.22,79940929.9,1890793.0,4010614.0,8525373.0,1890793.0,4010614.0,8525373.0,1890793.0,4010614.0,8525373.0,100.0,100.0,100.0,100.0,100.0,100.0,27.547111347733043,100.0,35.120621146061815,5038178.578034595,4808716.845712644,11971259.892491695,2496556.0284987814,5058896.106319714,18156594.965542287,520858.853065142,6714675.340878997,2994163.952618645
7,1839196.974,354320.276,25759223.92,7043955.174,26961694.58,1839196.974,354320.276,25759223.92,7043955.174,26961694.58,1839196.974,354320.276,25759223.92,7043955.174,26961694.58,110184.0,223407.0,3589763.0,110184.0,223407.0,3589763.0,110184.0,223407.0,3589763.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2054483.4717653326,1516437.6586178674,20493130.169647943,3088319.9771432714,1417972.58466127,17273704.369776145,2978617.897405875,2432382.207907253,30991359.47965316
8,42276219.04,3579937.958,142280.85056,183010076.16,46066.23414,42276219.04,3579937.958,142280.85056,183010076.16,46066.23414,42276219.04,3579937.958,142280.85056,183010076.16,46066.23414,72120.0,3533857.0,6462115.0,72120.0,3533857.0,6462115.0,72120.0,3533857.0,6462115.0,100.0,95.89984593873578,100.0,100.0,87.25440455314622,100.0,100.0,100.0,100.0,3466438.0269653657,3388963.41869523,10020262.474475523,2929772.8390067117,3083445.883109676,10114517.617856503,1415637.0796195674,5133103.940420453,8304292.23341142
9,42165.48396000001,3464833.854,3051232.454,1781321.2976,836322.3032,42165.48396000001,3464833.854,3051232.454,1781321.2976,836322.3032,42165.48396000001,3464833.854,3051232.454,1781321.2976,836322.3032,450169.0,2467384.0,127114.0,450169.0,2467384.0,127114.0,450169.0,2467384.0,127114.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3487622.386275706,3571728.038464005,864557.018136553,2173760.9652126813,4388197.478939593,419895.17469971004,3566430.4649302433,3482869.1194860395,133954.77638546657
10,2913325.992,1771200.7419999996,28204777.38,18865497.908,37675879.0,2913325.992,1771200.7419999996,28204777.38,18865497.908,37675879.0,2913325.992,1771200.7419999996,28204777.38,18865497.908,37675879.0,2902872.0,6285594.0,13788033.0,2902872.0,6285594.0,13788033.0,2902872.0,6285594.0,13788033.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,19269946.116290778,17195135.4325437,16903989.597197667,5485842.734317326,14722015.334921613,20105315.044080917,9103373.615750737,11876475.093718948,37891981.32449081
11,2464560.058,4069461.658,15350128.548,3486720.872,3312379.716,2464560.058,4069461.658,15350128.548,3486720.872,3312379.716,2464560.058,4069461.658,15350128.548,3486720.872,3312379.716,1037829.0,2251482.0,4297361.0,1037829.0,2251482.0,4297361.0,1037829.0,2251482.0,4297361.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.59331285346416,1483890.5757158005,4925420.899272509,6029259.584874681,1072442.9769756543,7307065.804803953,27584209.23654107,1623272.4075568777,5727374.83316873,3119596.715172756
