,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,294158,224660,161782,134735,122020,118219,142233,171069,204958,255948,292122,337085,357787,367958,367812,378410,368672,387810,416903,425825,432915,426213,389053,324105,0.95
1,b,169,169,250,292,517,1183,2258,3811,5764,6270,5643,7240,5309,5189,6312,7019,8830,9827,11320,10932,10195,5544,2209,835,0.92
2,c,180942,117749,121835,108864,84291,110068,218180,347067,457156,553050,599838,606665,671039,797770,953696,1160675,1051590,946989,965310,1120231,1199197,1146059,746282,485576,0.965
3,d,4642996,1285249,472568,246623,209383,673617,3630099,13115030,30130823,44738441,52520522,54252189,60392496,60696141,57696360,65607720,68860077,71767768,89758360,148484695,230206166,242197812,116822916,35793696,0.975
4,e,33021582367,32105557554,34964003751,36886054918,33149958256,26220564353,20989425685,18846921468,16508025086,15848794898,17083317890,19327782929,22484176545,29743085725,38148707962,48644231341,59326907207,66145137963,69315792766,69125848626,67958532074,68926371117,64040057010,51917972465,0.945
5,f,7610717,3086236,1545081,879360,664244,992657,3475862,11845876,27169892,44564993,56435429,63468592,80230414,88423446,86220754,86863324,93821298,104335330,121968021,139191271,177817323,177971871,95521140,36142380,0.975
6,g,2,1,1,1,1,1,1,1,1,2,3,11,2,3,2,3,3,3,3,3,2,5,8,5,0.945
7,h,9511,6222,9243,18434,30338,62350,137742,239064,358532,436516,502082,530330,545590,518239,518132,631410,714106,709058,761000,820745,784773,521983,224030,60050,0.955
8,i,3976648,2118049,1467209,1218788,1282917,1944776,2631977,5240991,10409564,13961917,18827105,19281038,24364881,36420022,35759218,31776206,30317138,27996375,20383190,21566501,32989685,39200593,37946245,15126446,0.95
9,j,30665419,46676275,66200677,78674405,91191389,105416668,108563859,114281982,127380792,137342749,150489234,156233269,293551975,335248544,297131818,244406304,113330241,43429473,14449770,4718844,2060562,1860587,4411909,12498227,0.905
10,k,7452,18288,32652,51881,62721,78382,90886,94302,94369,94293,85724,102723,117221,135856,135388,137434,87586,51583,20816,8875,4108,3044,2707,4697,0.96
11,l,9,6,3,2,3,12,37,92,113,162,172,308,178,212,183,212,246,325,384,407,394,287,82,34,0.915
12,m,2682,3718,2919,5518,8138,6366,7034,9702,10941,10090,6860,6733,5301,5650,6204,9217,7749,6990,4869,2233,2095,2880,2327,1708,0.94
13,n,50601,20943,12827,8881,12851,21328,54004,157796,349494,450458,605546,601343,624328,665815,390573,433123,470151,536110,705033,1021021,1588961,1321420,613676,173156,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
15,p,21569831,13262026,17184691,8462635,6181777,2791462,1278510,1415688,3642337,2766805,3549911,9315618,14224265,28294414,33878929,46942541,54572252,39700844,54547898,49062052,69051542,150467644,146658254,123749799,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,2735116,1447084,1243404,1705936,3370802,8088028,18045167,30626848,44792632,53466162,57742345,62547977,67358361,69560240,72804681,77799403,87816515,102160763,111386988,129587536,117390462,85173839,30628308,10465956,0.95
18,s,20379,7873,4268,3065,3321,9707,43742,138206,235002,501517,335488,339489,324178,331985,353943,442683,469859,513466,675601,1092671,1086577,799326,406270,123289,0.955
19,t,3443,5269,7508,10522,15230,21372,27136,35119,43049,54650,62051,59476,47649,60621,87164,99438,100454,63225,42961,37269,19301,14802,10513,7100,0.975
20,u,71,39,28,36,89,401,1403,3666,5247,7163,7485,8847,8570,8108,7404,7857,8289,10525,12394,14533,13768,7528,2122,536,0.905
21,v,959,4144,12073,23541,25183,18701,19634,19489,19971,20011,16675,11720,12831,25629,50340,56969,38997,14858,3478,821,244,121,78,146,0.945
22,w,12585,7168,4836,5310,5647,4394,3948,4569,5937,9657,13650,14004,9000,8515,7506,8322,4907,5216,3901,4397,5092,8242,6164,5137,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,281562,703735,1682883,3234901,4265836,4441518,5470750,6187009,6278541,6282752,6020167,5303969,6541228,10061636,14440249,17385954,15963774,9556669,4246944,1601921,570265,259673,147109,144779,0.945
